date,price,market_cap,volume,next_day
2024-12-17,0.01141,3507897475.6415215,166119758.1636734,2024-12-18
2024-12-18,0.027972678627340264,1751294067.6479647,1928363972.4544158,2024-12-19
2024-12-19,0.03584166948431309,2237232896.1293106,2178426857.865995,2024-12-20
2024-12-20,0.028863661661726506,1820435275.6438797,1550610697.788328,2024-12-21
2024-12-21,0.027865175414752516,1751439813.933644,1002219202.5734949,2024-12-22
2024-12-22,0.0285645521589105,1794219416.5047793,643660510.3577012,2024-12-23
2024-12-23,0.025942062345879372,1629486427.4273887,365300632.39402235,2024-12-24
2024-12-24,0.03022547647014433,1900105001.6553452,536521603.22933346,2024-12-25
2024-12-25,0.0358686223234439,2258098234.7820506,1183302733.4198592,2024-12-26
2024-12-26,0.037419882096357195,2379711885.124329,1019844329.2973336,2024-12-27
2024-12-27,0.037852141038657854,2392245120.8299456,1259552122.0906687,2024-12-28
2024-12-28,0.03389110429098114,2130480085.5136485,586771760.8357478,2024-12-29
2024-12-29,0.035859543631980996,2260984802.3801336,528749511.88896704,2024-12-30
2024-12-30,0.0318504141818926,2003224302.5846236,380613041.0269806,2024-12-31
2024-12-31,0.030953619172376056,1945041551.077975,385067653.2320024,2025-01-01
2025-01-01,0.03327137775629005,2091451984.220408,619060965.00246,2025-01-02
2025-01-02,0.03965768838002773,2465754899.984565,1131695615.8340683,2025-01-03
2025-01-03,0.037166476908978174,2332370004.564722,961387624.7488356,2025-01-04
2025-01-04,0.03728665734910331,2342214538.321803,441853325.91562074,2025-01-05
2025-01-05,0.040506282400404166,2546522958.884387,721549785.3422742,2025-01-06
2025-01-06,0.040075050780282194,2519374591.0618434,819166279.3147949,2025-01-07
2025-01-07,0.042969151376829766,2699307624.994114,852770266.9666132,2025-01-08
2025-01-08,0.037291698001171984,2345247467.045865,575930623.1309338,2025-01-09
2025-01-09,0.03590206608075689,2261470275.6280904,562551667.6993115,2025-01-10
2025-01-10,0.03334402441514397,2102292033.2729833,568511432.8207467,2025-01-11
